Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,97.05329656907566,173.38320262016035,170.95449876114742,170.99081185414335,87.5036872480807,90.0,90.0,90.0,90.0,90.0,No Exercise
left,99.87756364836115,178.64175589717172,176.22467828822272,173.70789336549814,88.26818878650627,90.0,90.0,90.0,90.0,90.0,No Exercise
left,86.29701526930447,179.10138500853523,177.7486980058406,179.86735590154834,89.14580737720549,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.63534997681106,176.0401694327885,179.2170083638378,173.61664859350844,90.6664283107464,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.78291109442999,175.35428925509476,179.93707616283464,172.71453101779366,91.45773895201482,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.5187949167449,171.81222512018246,179.88878422937563,179.4648075411754,89.38175336503168,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.71182831401265,170.62419515770603,171.8092333527984,174.97529314322085,92.06657451050339,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.69119480777096,175.24184138563245,177.05498200462932,170.97627214412026,94.76508243308317,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.65262080527977,172.0552535920661,176.41359482110502,171.99073873955916,88.78443251551731,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.52769607127031,171.72712325059305,175.25737065375475,177.56819299287312,93.99011600873757,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.23375780641214,172.6877981119259,170.68841643496816,176.43191753885432,88.64375190584582,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.74576516527476,179.99961215631473,179.4047693258828,173.4610117836109,85.70749298268555,90.0,90.0,90.0,90.0,90.0,No Exercise
left,95.43234435161753,176.67035322085454,173.17342942115633,178.79033674282357,89.03718418061015,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.57333508458446,176.24941387558502,176.56138591053784,176.54576485743456,91.2624773488118,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.30553229708573,175.55942810875067,177.4976073146081,172.69011738279713,86.3371205909267,90.0,90.0,90.0,90.0,90.0,No Exercise
left,99.68812422624323,176.8468801465217,179.21280806851163,178.02514334833933,94.96251585898145,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.34763295190521,176.5462162288645,177.9517694314143,175.83332187455096,89.96078846514266,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.5648079236685,172.48706803181392,176.54825101506043,179.73635414672964,85.68243226186604,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.42347983021003,171.854920004244,177.81283570735167,175.27841560279427,90.18686921329056,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.59401029265015,177.1566228550102,173.44995784924038,171.49343977804125,91.46040881794158,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.5446532228118,170.19333972981715,177.09547121449177,173.54725202141867,93.27124195599106,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.95236956188567,170.42547470653636,177.26851244818204,177.98677817983878,94.3416280100053,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.74641720879198,170.2319019294188,179.09893719336515,170.21846702214768,85.81118791879688,90.0,90.0,90.0,90.0,90.0,No Exercise
left,86.02271672628636,177.07919130850212,176.64115480278068,176.23252211422547,90.82253865736787,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.01162836505374,175.37451620370555,178.02879333216808,171.07216090411373,85.96271215639167,90.0,90.0,90.0,90.0,90.0,No Exercise
left,95.27273108945215,172.0940736421851,171.3359440086233,170.50309373000857,85.42221262945601,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.95601705628626,175.00986320514193,170.43579850585053,175.92837007239612,91.0291871856885,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.09146244483127,177.24754828848793,170.3078651874892,174.60698839772354,86.88054144226524,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.898344217873,171.56821425002514,173.45099895627692,178.12318231537554,93.0829885352181,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.41792664929983,174.70419229135257,173.98018480493,176.46176650720076,88.60854708265535,90.0,90.0,90.0,90.0,90.0,No Exercise
left,81.54437113186795,173.006151618222,179.98946853995722,176.70984482924865,90.70565570420703,90.0,90.0,90.0,90.0,90.0,No Exercise
left,90.706839783496,173.03354720821315,175.31387791755324,176.89852789716025,89.41524802309836,90.0,90.0,90.0,90.0,90.0,No Exercise
left,95.67087996310994,173.60432056364655,175.28216998207571,178.69809586071895,89.56170129382396,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.71999240499152,170.05833838107873,171.41819460458984,177.01584864680117,91.66570983739973,90.0,90.0,90.0,90.0,90.0,No Exercise
left,99.39444412732638,173.54880880636318,175.29315002359078,173.68212946289825,92.5428010090282,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.23917445315227,172.8463001954899,174.78928270153935,179.35653487390155,89.0150807896514,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.9674487047028,171.08219783634027,173.5700282683552,174.65998766968937,86.62395438123,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.08276386244228,174.27758359638645,173.14236066863484,177.14802724801888,93.5391313152333,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.55661766822568,177.14054224499262,177.8018611018207,171.38005406319792,90.26022455758711,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.09604096450404,177.1777100603749,179.72286606867115,175.90718673119213,85.55576528630505,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.80555218282318,170.93249131704502,174.95538417589987,179.74036353440977,89.41908577406625,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.81463235016851,176.6524941543433,171.98830089648888,171.16918596997633,91.83750344834702,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.66134307580751,176.71713560403595,177.76686744420076,174.99712554610593,93.38790067078111,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.41154780252282,179.37714811789434,179.7773290987134,172.3691346903726,92.29721793484138,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.79424512558488,175.5675953649875,178.30998927919276,176.87078640917233,89.0127258067983,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.0173896203448,178.96265958404058,174.54213065194722,178.45505782744698,85.9994389104389,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.55606884257949,173.79639035208552,176.40748249273744,171.13134619703737,88.74291472070136,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.29809647790914,171.11760337927555,179.44525088365003,171.17795058325459,89.39802063292915,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.65761571979405,171.89388053738378,173.21577097263304,172.1695285475023,90.41446610649452,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.92208981401332,179.1238745436334,170.68506481079018,172.71450125350216,90.51688404225008,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.54374187974305,177.81615757177647,177.75406049771814,177.2364221289496,93.96776232469858,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.32545948422208,172.40276200960253,174.9330529070329,174.80210200833682,91.97136577171041,90.0,90.0,90.0,90.0,90.0,No Exercise
left,81.96579105884518,176.94312812665194,174.77178925747904,178.32783011355306,93.88083283624533,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.21639624579005,178.71394879927726,174.43404288118455,174.83530261272406,88.23981881555892,90.0,90.0,90.0,90.0,90.0,No Exercise
left,99.87458090796994,173.15128592080072,175.9361889343567,179.96830774074843,88.94349583791664,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.97250354334228,170.59749954938042,174.12056300193004,178.72286611489048,88.24674098175271,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.07104837137184,179.82488983687605,178.0704843813074,173.7824777762911,94.95243976538167,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.2827415924139,174.35951637180304,171.65327232457494,177.58180066452482,88.55217111541843,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.78867583082256,173.33125462153023,179.7267250770931,170.30170342975498,88.00071569856321,90.0,90.0,90.0,90.0,90.0,No Exercise
left,92.79354600653483,178.96371580844055,176.9718738366467,171.36796493618883,94.34622087968141,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.66128476150354,171.64040161081135,170.81979647912456,177.3077470157793,87.96100094063185,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.50542007109071,172.51914660133852,179.79945040936758,173.78947053832798,88.05584835345958,90.0,90.0,90.0,90.0,90.0,No Exercise
left,86.85217013764422,170.59987971617352,173.5238475825925,170.08049887979797,91.45182198529784,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.29335214177807,171.13988609993774,170.47376227889114,172.9559705095478,85.35510402063274,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.78074143537289,175.45167500415755,171.9528583891697,175.57268055472036,93.8792496977851,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.76744143075318,173.97022891437769,177.5433322067107,172.00860453405915,89.94250032080318,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.2773513502102,174.8910283254333,179.2955484712937,175.9248085694975,90.11120242806622,90.0,90.0,90.0,90.0,90.0,No Exercise
left,95.77460647577875,172.16518238734886,174.54758851325153,178.7725613129226,85.24348691579519,90.0,90.0,90.0,90.0,90.0,No Exercise
left,95.27384749277373,171.13434833013108,179.8222331342096,170.13914344649982,87.918457237963,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.18195178039377,173.33153566200548,173.83885296583,175.80432904771237,85.26690078373296,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.55054113344316,173.4027783897775,170.3471395551849,172.38035578119758,94.69858658510636,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.93060734211286,175.26853516820114,170.4837756286858,174.87902109173447,93.74992147148882,90.0,90.0,90.0,90.0,90.0,No Exercise
left,86.58776649580889,174.60647185241135,172.74565749324384,174.68940315034476,85.33417563609181,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.54697681961345,173.45324835221464,174.76433725805103,177.47516886219606,91.65551055647451,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.47764660526015,176.31019762862368,171.87082176894305,171.97036463025435,94.97833867377763,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.84525770106062,175.6372354011685,174.68443745035887,171.34654122771036,92.75890294979034,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.324784976191,177.07880223672308,172.926275042776,171.45356783837258,87.54207799586887,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.93909949029117,172.80511247432457,178.02459140867145,172.92265668040278,85.61460667183022,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.2023983553841,176.69665931691074,173.43394759153782,170.18318664497752,89.92022762479502,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.11041905816843,173.64567239852514,174.67693512904629,170.32087704490183,94.43024442360354,90.0,90.0,90.0,90.0,90.0,No Exercise
left,95.51186888131377,178.94888943829912,175.17931145413877,175.06804164940337,90.35287944969635,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.50723187413648,171.97443286989144,175.8007503528192,171.79517869950254,88.55267998003893,90.0,90.0,90.0,90.0,90.0,No Exercise
left,92.63817320585864,179.97855873926915,177.1517356271592,174.73345644180304,86.96382592166675,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.85040129600173,174.2446750459751,176.6371426293696,174.9740465051217,89.42840981395247,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.09102179324992,175.0680720283374,172.0800039124289,179.78407838803466,92.38013727570772,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.60121996213282,170.222963802024,171.08930846460322,172.26991739181184,88.50455643234527,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.331684983397,177.80020660358136,177.98273264142716,178.147296811289,86.18531789925889,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.18307324505405,171.932714933966,176.4336531380283,178.4207664835045,92.00301445195514,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.26209711399707,170.4774317060259,171.56059443683344,172.63326375034953,90.753202528677,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.21390674963317,175.7535817777633,173.5563933014587,175.0955624385741,89.12361218355493,90.0,90.0,90.0,90.0,90.0,No Exercise
left,86.26547914246612,174.5570750875597,170.13305231039544,174.9117444901038,86.936426604811,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.08698071720812,179.59335636599894,178.5143123863372,174.2113246030189,88.5542724835486,90.0,90.0,90.0,90.0,90.0,No Exercise
left,95.12042971985466,179.63224228037146,170.87755107615266,174.25134890385533,94.62646513152319,90.0,90.0,90.0,90.0,90.0,No Exercise
left,82.27664330190403,179.4179130825462,176.51807451649026,176.1409489289413,91.27744357814589,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.60098951488669,175.76806301541532,177.07304572137673,177.07599310293793,93.360843406601,90.0,90.0,90.0,90.0,90.0,No Exercise
left,86.10898248750264,171.23362167564298,170.17948219949898,173.22607489728216,90.57486486403562,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.1111766741991,179.90778878257328,176.371535999795,179.82594326351608,91.45734086712874,90.0,90.0,90.0,90.0,90.0,No Exercise
left,88.7641243017012,174.54693349048594,175.56031872727948,172.12613486193857,87.76372985940336,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.88439112500264,179.73041301709935,172.4923435245546,179.2088118569418,85.46749848830318,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.06394373678776,171.74674139925636,177.54630479267763,171.2382680991721,94.32346154028444,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.1718845292113,173.75183339718723,171.24033364995253,170.50688646900483,87.410288940938,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.36718242049957,174.2871636825156,179.20770420086,170.0646021400915,92.5198359116413,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.31074008252854,175.50765981750874,179.5295889477421,177.9503696419864,85.69137312093788,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.5320866091447,170.39015795916018,176.23777861140124,172.75328405815443,91.09250261504694,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.25047280692421,178.9311944120074,170.07846071845321,178.37593367317731,87.39194432870744,90.0,90.0,90.0,90.0,90.0,No Exercise
left,86.84735248453028,176.01750866272246,175.62748530408402,172.28094922860868,89.04412849507005,90.0,90.0,90.0,90.0,90.0,No Exercise
left,89.38425201676182,170.1216958437293,174.21584895202722,172.37827349072475,94.0309742958948,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.9168832179738,176.92408759227706,175.1011843644344,176.1242964236823,85.61336862356885,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.65365489611492,170.0873455952631,176.86911918090811,172.23136380760235,85.17456489589321,90.0,90.0,90.0,90.0,90.0,No Exercise
left,92.69367128993754,177.7866547931517,177.2505818840474,172.13361136638989,85.9913671648741,90.0,90.0,90.0,90.0,90.0,No Exercise
left,86.54495260570842,170.88185143420108,178.2722102984251,173.48392142540848,87.36419173778364,90.0,90.0,90.0,90.0,90.0,No Exercise
left,95.60715157494604,172.9740680388283,171.74765882864045,171.83639170685242,86.39208627592079,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.43269746789029,174.15939145137907,177.8611246348266,174.95565315375958,90.01798371131929,90.0,90.0,90.0,90.0,90.0,No Exercise
left,84.89946164048952,171.23095962972548,179.14069697819852,173.08087836736638,86.1674889561846,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.4361906828651,178.85115358884906,177.29190159197503,172.81411273127273,88.89704118644444,90.0,90.0,90.0,90.0,90.0,No Exercise
left,90.59484375843657,177.59637014109387,174.40286772657504,179.60998792667974,89.31725563845322,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.08737769756863,172.47576779986926,179.7900182333508,176.66105195197372,88.16466735312441,90.0,90.0,90.0,90.0,90.0,No Exercise
left,90.37729255417726,170.56962703146195,172.55978934504566,174.59134100766008,86.9251504255853,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.73252414896572,177.21284702414184,174.0427447663221,170.92802777014242,89.43701250884527,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.9527527790656,174.45021273057205,170.34229575836025,177.45620143404457,88.99015316672674,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.42516081858824,173.19168543622277,177.2064560950431,176.7302616017199,85.10865248540807,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.89059122327468,173.15155705638324,172.65752890113703,177.42534809103591,91.02955784510803,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.08086362289727,179.5014272714331,179.45604064678156,174.38756445456266,91.15518076551719,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.70255712685052,172.58504903725515,173.72381812690838,175.9430979493064,85.17305849458751,90.0,90.0,90.0,90.0,90.0,No Exercise
left,97.84005052524557,171.49942500930646,170.06748971681654,171.00183567973747,90.84429192919234,90.0,90.0,90.0,90.0,90.0,No Exercise
left,90.076453939645,175.3976253332622,177.53617728803067,173.158757621792,88.4692420052894,90.0,90.0,90.0,90.0,90.0,No Exercise
left,81.08026489871806,174.12466572526588,178.66744196491408,170.54962633743992,85.46128060237469,90.0,90.0,90.0,90.0,90.0,No Exercise
left,91.62719751286862,171.68302805715774,172.97650290800914,177.9002304560008,92.29426765150946,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.24722928293248,174.9907111524177,177.52881524092646,174.4324013944956,87.02348464034088,90.0,90.0,90.0,90.0,90.0,No Exercise
left,92.20430728350308,174.9273166178104,172.23796967499786,170.23393202797993,93.42819480832904,90.0,90.0,90.0,90.0,90.0,No Exercise
left,99.39428131628492,171.8943205016739,176.59920525706977,175.37069048718976,89.75518590472119,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.0355172957394,177.38521859353264,179.7438173699417,178.35076480462683,85.47865439255364,90.0,90.0,90.0,90.0,90.0,No Exercise
left,83.65680167276962,176.3536473730347,174.71348755496854,178.8312742479386,92.35139373920542,90.0,90.0,90.0,90.0,90.0,No Exercise
left,80.42235281080423,178.59173339514146,177.71657469553617,179.0258887966426,89.15962526857571,90.0,90.0,90.0,90.0,90.0,No Exercise
left,90.13533104288913,172.7437089069004,178.27692789491616,174.83093816904162,94.90188188930065,90.0,90.0,90.0,90.0,90.0,No Exercise
left,98.64398708955984,178.96875527189587,176.5301171512399,175.23228723895934,92.15753911180823,90.0,90.0,90.0,90.0,90.0,No Exercise
left,85.24014048623114,174.041991408955,175.82521000760764,179.31401738192537,94.80774765861986,90.0,90.0,90.0,90.0,90.0,No Exercise
left,96.41103319625175,176.8274901681545,173.71473420442368,170.4446982371471,90.71898482937729,90.0,90.0,90.0,90.0,90.0,No Exercise
left,93.92336791527151,178.5146406635334,172.16407407754457,170.8584342011241,93.97979521936497,90.0,90.0,90.0,90.0,90.0,No Exercise
left,87.79131373105498,175.73118477591487,174.29189108347526,175.99504415987866,93.38998245830538,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.03012339469998,178.53941967964366,176.52848801911261,170.69642673142425,92.33795166028432,90.0,90.0,90.0,90.0,90.0,No Exercise
left,94.66263105266293,179.64988755801153,178.621285104145,171.48624334294115,93.56540689734558,90.0,90.0,90.0,90.0,90.0,No Exercise
